Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
20220,DTAC,Pathum Wan,2024-08-12T14:22:43.570308Z,3.276293425108002,53.266,9543802.611720402,19977361.14078058,,182.232.189.84
32336,Campana,Bangkok,2024-08-12T14:23:27.502434Z,5.462984931863166,50.282,8476855.521577902,25019566.92012499,,182.232.189.84
18487,UIH,Chatuchak,2024-08-12T14:24:11.865043Z,8.924519247726279,76.963,11071141.377346007,12857635.32370708,,182.232.189.84
41066,AIS,Samut Sakhon,2024-08-12T14:24:56.231794Z,36.53291231419508,49.921,6973623.136112516,22672375.452750508,,182.232.189.84
29053,3BB,Samut Sakhon,2024-08-12T14:25:40.372318Z,36.53291231419508,47.003,8749873.842918614,19400345.08819311,,182.232.189.84
44261,AWN,Chonburi,2024-08-12T14:26:24.123454Z,66.17199121490516,47.551,9449526.531487448,24644278.535387293,,182.232.189.84
48165,Mimo Tech,Chonburi,2024-08-12T14:27:07.437772Z,66.17199121490516,44.719,12414780.2777985,21810625.4630203,,182.232.189.84
17692,AIS,Pattaya,2024-08-12T14:27:51.675947Z,99.97503779252132,49.684,12533736.070759717,19875068.343042277,,182.232.189.84
